,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-fisheryates,Swift
30,example-package-playingcard,Swift
31,FHIRModels,Swift
32,foundationdb,C++
33,fstools,C
34,GCGC,Jupyter Notebook
35,homebrew-apple,Ruby
36,HomeKitADK,C
37,indexstore-db,C++
38,learning-compressible-subspaces,Python
39,learning-subspaces,Python
40,llvm-monorepo-root,
41,llvm-project,
42,llvm-project-v5,C++
43,llvm-project-v5-split,C++
44,MaterialX,
45,ml-afv,Python
46,ml-all-pairs,Python
47,ml-ane-transformers,Python
48,ml-aspanformer,Python
49,ml-autofocusformer,Python
50,ml-autofocusformer-segmentation,Python
51,ml-batchquant,Python
52,ml-capsules-inverted-attention-routing,Python
53,ml-cifar-10-faster,Python
54,ml-code-switched-speech-translation,Python
55,ml-collegial-ensembles,Python
56,ml-core,Python
57,ml-covid-mobility,R
58,ml-cread,Python
59,ml-cvnets,Python
60,ml-cvpr2019-swd,Python
61,ml-dab,Python
62,ml-data-parameters,Python
63,ml-destseg,Python
64,ml-dms-dataset,Python
65,ml-dprecs,Jupyter Notebook
66,ml-dr,Python
67,ml-duet,Python
68,ml-entropy-reconstruction,Python
69,ml-envmapnet,Python
70,ml-equivariant-neural-rendering,Jupyter Notebook
71,ml-facelit,Python
72,ml-fct,Python
73,ml-finerecon,Python
74,ml-flair,Jupyter Notebook
75,ml-gaudi,
76,ml-gmpi,Python
77,ml-gsn,Python
78,ml-hierarchical-confusion-matrix,TypeScript
79,ml-hypersim,Python
80,ml-interspeech2022-phi_rtn,
81,ml-knowledge-conflicts,Python
82,ml-live-pose,
83,ml-mkqa,Python
84,ml-mobileone,Swift
85,ml-multiple-futures-prediction,Python
86,ml-ncg,Python
87,ml-neilf,Python
88,ml-neuman,Python
89,ml-no-token-left-behind,Jupyter Notebook
90,ml-pointconvformer,Python
91,ml-pointersect,Python
92,ml-probabilistic-attention,Python
93,ml-projunit,Python
94,ml-qrecc,Python
95,ml-quant,Python
96,ml-robust-expert-augmentations,Python
97,ml-sad,Python
98,ml-selfcond,Python
99,ml-shuffling-amplification,Python
100,ml-spin,Python
101,ml-stable-diffusion,Python
102,ml-stuttering-events-dataset,Python
103,ml-symphony,Svelte
104,ml-tract,Python
105,ml-transcript-translation-consistency-ratings,
106,ml-translate-vis,TypeScript
107,ml-tree-dst,Python
108,ml-tune-mode-convbn,Python
109,ml-upscale,Jupyter Notebook
110,ml-uwac,Python
111,ml-vfi-smiff,Python
112,openjdk,Java
113,password-manager-resources,JavaScript
114,sample-backyard-birds,Swift
115,sample-cloudkit-coredatasync,Swift
116,sample-cloudkit-encryption,Swift
117,sample-cloudkit-privatedb,Swift
118,sample-cloudkit-privatedb-sync,Swift
119,sample-cloudkit-queries,Swift
120,sample-cloudkit-sharing,Swift
121,sample-cloudkit-sync-engine,Swift
122,sample-cloudkit-tooling,JavaScript
123,sample-cloudkit-zonesharing,Swift
124,sample-food-truck,Swift
125,servicetalk,Java
126,sourcekit-lsp,Swift
127,swift,C++
128,swift-3-api-guidelines-review,Swift
129,swift-algorithms,Swift
130,swift-argument-parser,Swift
131,swift-asn1,Swift
132,swift-async-algorithms,Swift
133,swift-atomics,Swift
134,swift-book,Markdown
135,swift-cassandra-client,Swift
136,swift-certificates,Swift
137,swift-clang,C++
138,swift-clang-tools-extra,C++
139,swift-cluster-membership,Swift
140,swift-cmake-examples,CMake
141,swift-cmark,C
142,swift-collections,Swift
143,swift-collections-benchmark,Swift
144,swift-community-hosted-continuous-integration,
145,swift-compiler-rt,C
146,swift-corelibs-foundation,Swift
147,swift-corelibs-libdispatch,C
148,swift-corelibs-xctest,Swift
149,swift-crypto,C
150,swift-distributed-actors,Swift
151,swift-distributed-tracing,Swift
152,swift-distributed-tracing-baggage-core,Swift
153,swift-distributed-tracing-extras,Swift
154,swift-docc,Swift
155,swift-docc-plugin,Swift
156,swift-docc-render,JavaScript
157,swift-docc-render-artifact,
158,swift-docc-symbolkit,Swift
159,swift-docker,Dockerfile
160,swift-driver,Swift
161,swift-evolution,Markdown
162,swift-evolution-staging,Swift
163,swift-experimental-string-processing,Swift
164,swift-format,Swift
165,swift-foundation,Swift
166,swift-foundation-icu,C
167,swift-http-structured-headers,Swift
168,swift-http-types,Swift
169,swift-installer-scripts,CMake
170,swift-integration-tests,Python
171,swift-internals,HTML
172,swift-issues,
173,swift-libcxx,C++
174,swift-llbuild,C++
175,swift-llbuild2,Swift
176,swift-lldb,C++
177,swift-llvm,LLVM
178,swift-llvm-bindings,Swift
179,swift-lmdb,C
180,swift-log,Swift
181,swift-markdown,Swift
182,swift-metrics,Swift
183,swift-metrics-extras,Swift
184,swift-nio,Swift
185,swift-nio-examples,Swift
186,swift-nio-extras,Swift
187,swift-nio-http2,Swift
188,swift-nio-imap,Swift
189,swift-nio-nghttp2-support,Swift
190,swift-nio-ssh,Swift
191,swift-nio-ssl,C
192,swift-nio-ssl-support,Swift
193,swift-nio-transport-services,Swift
194,swift-nio-zlib-support,Swift
195,swift-numerics,Swift
196,swift-openapi-generator,Swift
197,swift-openapi-runtime,Swift
198,swift-openapi-urlsession,Swift
199,swift-org-website,SCSS
200,swift-package-collection-generator,Swift
201,swift-package-manager,Swift
202,swift-package-registry-compatibility-test-suite,Swift
203,swift-protobuf,Swift
204,swift-protobuf-plugin,
205,swift-protobuf-test-conformance,
206,swift-sample-distributed-actors-transport,Swift
207,swift-se0270-range-set,Swift
208,swift-se0288-is-power,Swift
209,swift-service-context,Swift
210,swift-service-discovery,Swift
211,swift-source-compat-suite,Python
212,swift-standard-library-preview,Swift
213,swift-statsd-client,Swift
214,swift-stress-tester,Swift
215,swift-syntax,Swift
216,swift-system,Swift
217,swift-tools-support-async,Swift
218,swift-tools-support-core,Swift
219,swift-xcode-playground-support,Swift
220,swiftpm-on-llbuild2,Swift
221,tensorflow_macos,Shell
222,turicreate,C++
223,unityplugins,C#
224,VideoFlashingReduction,Mathematica
225,vqg-multimodal-assistant,Python
